Aliment,EnergieUE (kcal/100g),Protéines (g/100g),Eau (g/100g),Glucides (g/100g),Lipides (g/100g)
"Bouchée à la reine, au poisson et fruits de mer",130.37,6.72,72.4,9.74,7.17
"Bouchée à la reine, garnie (aliment moyen)",213.92,7.13,59.6,17.1,13.0
Bouchée chocolat fourrage fruits à coques et/ou praliné,554.7,9.1,0.0,51.5,34.7
"Boudin blanc truffé, cru",241.44,11.3,58.8,9.01,17.8
"Boudin noir ou blanc, sauté/poêlé (aliment moyen)",256.38,13.3,55.7,5.12,20.3
"Boudin noir, rayon frais",293.86,12.2,57.2,0.29,27.1
"Boudin noir, sauté/poêlé",275.9,14.8,53.9,5.35,21.7
"Bouillon de boeuf, déshydraté",239.3,10.2,2.6,19.7,13.3
"Bouillon de boeuf, déshydraté reconstitué",9.07,0.6,97.6,1.33,0.15
"Bouillon de légumes, déshydraté reconstitué",5.4,0.34,98.0,0.65,0.16
"Bouillon de viande et légumes type pot-au-feu, dégraissé, déshydraté",194.7,10.8,2.5,30.9,3.1
"Bouillon de viande et légumes type pot-au-feu, déshydraté",213.1,10.6,4.53,17.7,11.1
"Bouillon de viande et légumes type pot-au-feu, non dégraissé, déshydraté",210.6,11.6,2.4,28.9,5.4
"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",5.76,0.44,98.1,0.1,0.4
"Bouillon de volaille, déshydraté",231.9,11.3,9.37,20.8,11.5
"Bouillon de volaille, déshydraté reconstitué",5.57,0.6,97.1,0.5,0.13
Boules de maïs soufflées au miel (non enrichies en vitamines et minéraux),388.95,5.75,2.3,86.2,2.35
"Boules de maïs soufflées au miel, enrichies en vitamines et minéraux",381.82,5.97,2.13,86.2,1.46
"Boulettes au bœuf et à l'agneau (type kefta), crues",241.94,15.7,55.5,9.46,15.7
"Boulettes au bœuf, à la sauce tomate",116.5,9.0,0.0,5.5,6.5
"Boulettes au porc et au bœuf (à la suédoise), crues",256.12,14.4,55.6,7.78,18.6
"Boulgour de blé, cru",328.59,11.5,9.05,66.8,1.71
"Boulgour de blé, cuit, non salé",70.88,3.08,77.8,14.1,0.24
"Brème, cru",103.6,16.9,77.0,0.0,4.0
Bresaola,174.5,31.6,57.1,2.35,4.3
Brick à la pomme de terre,212.8,3.25,60.2,19.8,13.4
Brick à l'oeuf,255.3,10.4,56.2,12.7,18.1
Brick au boeuf,328.6,10.4,27.0,33.5,17.0
"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.)",185.18,12.2,65.1,8.22,11.5
Brie de Meaux,272.3,21.5,53.4,0.0,20.7
Brie de Melun,281.4,20.4,52.1,0.0,22.2
"Brie, sans précision",298.7,17.3,52.5,0.0,25.5
Brioche aux pépites de chocolat,357.24,8.16,24.7,48.3,14.6
Brioche fourrée au chocolat,347.08,7.47,24.4,53.2,11.6
Brioche fourrée aux fruits,338.5,6.9,25.5,50.5,12.1
"Brioche fourrée crème pâtissière (type ""chinois""), préemballée",297.37,6.22,0.0,49.2,8.41
Brioche pur beurre,364.68,8.07,24.0,51.6,14.0
"Brioche, de boulangerie traditionnelle",368.34,9.81,21.4,49.2,14.7
"Brioche, préemballée",350.58,8.12,23.4,53.2,11.7
"Brioche, sans précision",401.1,11.3,21.5,46.0,19.1
"Brochet, cru",83.66,18.8,79.1,0.0,0.94
"Brochet, rôti/cuit au four",100.32,23.1,74.7,0.0,0.88
Brochette d'agneau,135.04,13.2,72.8,4.27,7.24
Brochette de boeuf,203.32,18.9,62.6,4.93,12.0
Brochette de crevettes,97.13,17.0,76.1,1.05,2.77
Brochette de poisson,127.33,18.0,73.9,0.94,5.73
"Brochette de porc, crue",129.3,15.6,0.0,2.1,6.5
Brochette de volaille,179.24,19.2,64.2,5.9,8.76
Brochette mixte de viande,207.52,19.7,63.4,1.13,13.8
"Brocoli, cru",26.84,3.95,88.9,1.68,0.48
"Brocoli, cuit",19.82,2.1,92.5,1.1,0.78
"Brocoli, purée",24.42,2.5,91.7,2.75,0.38
"Brocoli, surgelé, cru",21.36,2.79,91.5,1.56,0.44
"Brocoli, surgelé, cuit",22.83,3.1,90.7,2.36,0.11
Brownie au chocolat,460.68,6.22,13.0,50.0,26.2
Bûche de Noël pâtissière,316.5,4.2,43.4,30.6,19.7
Bûche glacée,223.48,2.47,0.0,30.0,10.4
"Bulot ou Buccin, cru",130.77,23.8,66.0,7.61,0.57
"Bulot ou Buccin, cuit",97.79,20.7,74.1,2.69,0.47
Burger au poisson,259.1,12.2,46.1,26.7,11.5
Burger au poulet,245.0,12.7,49.0,23.8,11.0
Burritos,165.7,8.0,62.5,14.3,8.5
"Cabillaud, cru",77.53,18.1,79.8,0.0,0.57
"Cabillaud, cuit à la vapeur",106.55,24.5,73.4,0.0,0.95
"Cabillaud, cuit, sans précision (aliment moyen)",98.97,23.1,75.1,0.0,0.73
"Cabillaud, rôti/cuit au four",94.6,22.3,76.0,0.0,0.6
Cacahuète ou Arachide,600.7,24.9,2.2,14.8,49.1
"Cacahuète, grillée",603.7,23.4,1.71,13.9,50.5
"Cacahuète, grillée, salée",599.6,22.4,1.22,15.0,50.0
"Cacahuètes (arachide) enrobées d'un biscuit, pour apéritif",512.1,15.8,0.0,45.4,29.7
Cacahuètes enrobées de chocolat dragéifiées,485.12,9.13,1.7,55.9,25.0
"Cacao, non sucré, poudre soluble",319.4,21.9,3.5,11.6,20.6
"Café au lait ou cappuccino au chocolat, poudre soluble",395.37,11.2,0.0,67.1,9.13
"Café au lait ou cappuccino, poudre soluble",397.5,13.2,0.0,58.5,12.3
"Café au lait, café crème ou cappuccino, instantané ou non, non sucré, prêt à boire",21.52,1.36,95.3,2.31,0.76
"Café décaféiné, instantané, non sucré, prêt à boire",2.1,0.12,99.0,0.4,0.002
"Café décaféiné, non instantané, non sucré, prêt à boire",4.42,0.1,98.0,0.6,0.18
"Café expresso, non instantané, non sucré, prêt à boire",4.5,0.12,97.8,0.6,0.18
"Café, décaféiné, poudre soluble",356.6,12.7,3.2,76.0,0.2
"Café, instantané, non sucré, prêt à boire",1.68,0.11,99.2,0.3,0.004
"Café, moulu",357.0,14.4,5.5,40.2,15.4
"Café, non instantané, non sucré, prêt à boire",0.66,0.12,99.4,0.0,0.02
"Café, poudre soluble",242.3,15.5,4.95,42.6,1.1
"Caille, viande et peau, crue",135.95,21.5,69.7,0.0,5.55
"Caille, viande et peau, cuite",205.3,26.8,60.5,0.0,10.9
"Caille, viande, crue",126.29,22.5,70.0,0.5,3.81
Cake aux fruits,378.72,4.78,20.0,55.7,15.2
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.)",330.7,13.3,0.0,24.6,19.9
Calissons d'Aix en Provence,434.72,7.88,10.0,60.3,18.0
"Calmar ou Calamar ou encornet, à la romaine (beignet)",249.16,8.69,51.5,21.2,14.4
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",149.16,32.5,61.1,1.64,1.4
"Calmar ou calamar ou encornet, cru",70.19,12.7,80.9,2.17,1.19
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",172.72,17.9,64.5,8.45,7.48
Camembert au lait cru,266.3,20.9,55.9,0.0,20.3
"Camembert, sans précision",281.4,21.3,55.4,0.0,21.8
"Canard en sauce (poivre vert, chasseur, etc.)",146.5,10.0,0.0,10.2,7.3
"Canard, cuisse avec peau, sans os, crue",102.7,18.7,72.3,0.0,3.1
"Canard, magret fumé",364.3,21.9,0.0,0.55,30.5
"Canard, magret, cru",339.6,17.9,53.2,0.85,29.4
"Canard, magret, grillé/poêlé",222.0,26.7,61.7,0.0,12.8
"Canard, viande et peau, cru",270.4,14.0,58.6,2.75,22.6
"Canard, viande et peau, rôti/cuit au four",331.6,19.0,51.8,0.0,28.4
"Canard, viande, crue",125.57,19.4,72.7,0.0,5.33
"Canard, viande, rôtie/cuite au four",194.0,23.3,63.1,0.0,11.2
Cancoillotte (spécialité fromagère fondue),145.19,14.8,74.1,1.0,9.11
Canelé,292.14,5.31,26.3,59.4,3.7
"Canneberge ou cranberry, crue",34.57,0.75,86.8,7.6,0.13
"Cannelle, poudre",136.46,3.87,10.6,27.5,1.22
Cantal entre-deux,369.7,25.6,40.6,0.0,29.7
"Cantal, Salers ou Laguiole",377.4,24.6,39.6,0.0,31.0
"Capelan, cru",90.19,18.7,78.6,0.0,1.71
"Câpres, au vinaigre",30.74,2.25,84.8,3.5,0.86
"Carambole, pulpe, crue",23.08,1.15,91.3,3.9,0.32
"Carangue, cru",103.9,19.9,0.0,0.0,2.7
"Cardamome, poudre",265.5,10.8,8.28,40.5,6.7
"Cardine franche, crue",93.37,19.9,0.0,0.0,1.53
"Cardon, cru",10.34,0.66,94.0,1.7,0.1
"Cardon, cuit",18.55,0.76,93.5,3.63,0.11
"Carotte, appertisée, égouttée",17.96,0.66,93.0,3.38,0.2
"Carotte, crue",31.22,0.77,89.6,6.45,0.26
"Carotte, cuite",13.5,0.55,93.0,2.6,0.1
"Carotte, déshydratée",269.81,8.1,4.0,56.0,1.49
"Carotte, purée",58.8,2.1,87.3,8.1,2.0
"Carotte, surgelée, crue",25.03,0.66,90.9,4.99,0.27
"Carotte, surgelée, cuite",26.52,0.58,90.3,4.52,0.68
"Carpaccio de bœuf, avec marinade",277.28,15.2,57.2,2.37,23.0
Carpaccio de saumon avec marinade,216.28,18.3,64.3,0.22,15.8
"Carpe, crue, élevage",113.64,17.7,77.3,0.0,4.76
"Carpe, rôtie/cuite au four",150.93,21.6,69.6,0.0,7.17
Carré de l'Est,328.6,21.4,0.0,0.0,27.0
"Carrelet ou plie, cru",80.86,18.1,79.3,0.0,0.94
"Carrelet ou plie, cuit à la vapeur",93.01,19.0,78.0,0.0,1.89
"Carrelet ou plie, pané, frit",240.24,13.4,58.5,8.86,16.8
"Carvi, graine",258.2,19.8,9.87,11.9,14.6
"Cassis, cru",45.14,1.32,80.5,8.03,0.86
"Cassoulet au canard ou oie, appertisé",153.14,10.5,68.6,10.1,7.86
"Cassoulet au porc, appertisé",124.3,8.3,71.1,8.6,6.3
"Cassoulet, appertisé",121.81,8.06,70.6,9.41,5.77
Caviar de tomates,208.76,2.19,64.3,6.8,19.2
"Caviar, semi-conserve",253.9,25.0,0.0,0.0,17.1
"Céleri branche, appertisé, égoutté",9.75,0.72,95.0,1.38,0.15
"Céleri branche, cru",18.75,0.66,94.2,3.6,0.19
"Céleri branche, cuit",9.48,0.81,94.1,1.2,0.16
"Céleri rémoulade, préemballé",136.44,1.12,78.5,4.19,12.8
"Céleri-rave, cru",25.0,1.5,88.6,4.3,0.2
"Céleri-rave, cuit",31.34,1.3,90.1,4.6,0.86
"Céleri-rave, purée",18.42,1.37,91.4,2.83,0.18
"Céréales chocolatées pour petit déjeuner, non fourrées, (non enrichies en vitamines et minéraux)",375.69,7.73,0.0,79.6,2.93
"Céréales complètes soufflées, enrichies en vitamines et minéraux",371.53,7.42,0.0,76.8,3.85
"Céréales instantanées, poudre à reconstituer, dès 4/6 mois",388.9,5.1,2.2,88.3,1.7
"Céréales instantanées, poudre à reconstituer, dès 6 mois",382.4,10.0,1.8,81.1,2.0
"Céréales pour petit déjeuner ""équilibre"" au chocolat (non enrichies en vitamines et minéraux)",401.45,9.99,2.5,74.6,7.01
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux",396.06,10.1,2.8,75.1,6.14
"Céréales pour petit déjeuner ""équilibre"" aux fruits (non enrichies en vitamines et minéraux)",369.8,10.6,3.1,78.7,1.4
"Céréales pour petit déjeuner ""équilibre"" aux fruits secs (à coque), enrichis en vitamines et minéraux",382.01,8.91,0.0,75.5,4.93
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux",369.26,10.5,3.0,77.9,1.74
"Céréales pour petit déjeuner ""équilibre"" nature (non enrichies en vitamines et minéraux)",372.45,11.3,0.0,79.0,1.25
"Céréales pour petit déjeuner ""équilibre"" nature ou au miel, enrichies en vitamines et minéraux",374.85,11.4,2.6,78.6,1.65
Céréales pour petit déjeuner (aliment moyen),389.54,7.99,3.14,76.3,5.82
"Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux",381.36,7.41,2.83,78.3,4.28
Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes,431.8,7.45,0.0,67.2,14.8
"Céréales pour petit déjeuner fourrées au chocolat ou chocolat-noisettes, enrichies en vitamines et minéraux",431.48,7.42,2.67,68.5,14.2
"Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux",412.18,8.42,8.6,64.7,13.3
"Céréales pour petit déjeuner riches en fibres, au chocolat, enrichies en vitamines et minéraux",359.55,10.7,0.0,64.0,6.75
"Céréales pour petit déjeuner riches en fibres, avec ou sans fruits, enrichies en vitamines et minéraux",322.98,11.5,3.57,59.3,4.42
"Céréales pour petit déjeuner très riches en fibres, enrichies en vitamines et minéraux",283.5,14.0,3.0,49.0,3.5
"Céréales pour petit déjeuner, enrichies en vitamines et minéraux (aliment moyen)",396.37,7.86,2.99,76.0,6.77
"Céréales pour petit déjeuner, non enrichies en vitamines et minéraux (aliment moyen)",379.08,8.2,2.36,79.1,3.32
"Cerf, cru",113.16,23.7,73.6,0.0,2.04
"Cerf, rôti/cuit au four",149.51,30.2,65.2,0.0,3.19
"Cerfeuil, frais",32.76,3.21,89.2,3.63,0.6
"Cerise, dénoyautée, crue",53.29,1.16,83.8,11.6,0.25
Cervelas,277.04,11.9,61.1,1.56,24.8
"Cervelas à l'ail, pur porc",299.4,13.0,55.3,0.2,27.4
Cervelas obernois,303.5,13.0,0.0,1.0,27.5
"Cervelle, agneau, crue",120.78,10.4,79.2,0.49,8.58
"Cervelle, agneau, cuite",142.96,12.6,75.7,0.19,10.2
"Cervelle, porc, braisée",173.8,12.4,73.8,0.0,13.8
"Cervelle, porc, crue",128.17,10.3,78.4,1.02,9.21
"Cervelle, veau, crue",116.41,10.3,79.8,0.33,8.21
"Cervelle, veau, cuite",140.87,11.5,75.4,2.05,9.63
Chabichou (fromage de chèvre),296.2,20.5,50.4,0.0,23.8
"Chair à saucisse, crue",323.1,14.7,54.2,0.6,29.1
"Chair à saucisse, porc et bœuf, crue",303.3,11.8,53.8,4.4,26.5
"Chair à saucisse, pur porc, crue",273.4,15.4,59.2,5.25,21.2
Champagne,12.44,0.3,86.8,2.81,0.0
Champignon à la grecque,56.07,2.08,84.6,3.95,3.55
"Champignon de Paris ou champignon de couche, appertisé, égoutté",15.05,2.23,92.9,0.7,0.37
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",24.91,2.17,91.1,3.0,0.47
"Champignon de Paris ou champignon de couche, cru",19.04,2.62,93.9,1.33,0.36
"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse",26.13,2.99,83.0,2.8,0.33
"Champignon de Paris ou champignon de couche, surgelé, cru",13.05,1.87,93.2,0.83,0.25
"Champignon, cèpe, cru",28.51,3.13,90.3,3.03,0.43
"Champignon, chanterelle ou girolle, crue",25.34,2.28,88.7,2.3,0.78
"Champignon, lentin comestible ou shiitaké, cuit",57.42,1.56,83.5,12.3,0.22
"Champignon, lentin comestible ou shiitaké, séché",302.83,9.58,9.5,63.9,0.99
"Champignon, morille, crue",17.9,3.16,89.6,0.1,0.54
"Champignon, oronge vraie, crue",20.5,2.0,92.9,2.45,0.3
"Champignon, pleurote, crue",21.48,3.06,89.2,1.5,0.36
"Champignon, rosé des prés, cru",22.6,2.3,92.1,2.45,0.4
"Champignon, tout type, appertisé, égoutté",20.33,1.87,91.1,2.56,0.29
"Champignon, tout type, cru",18.95,2.34,92.6,1.88,0.23
Chaource,275.7,17.4,56.0,0.0,22.9
Chapelure,360.33,11.6,7.29,70.0,3.77
"Chapon, viande et peau, cru",182.6,21.8,63.2,0.0,10.6
"Chapon, viande et peau, rôti/cuit au four",221.3,29.0,58.7,0.0,11.7
Charcuterie (aliment moyen),241.74,19.6,58.1,1.91,17.3
Charlotte aux fruits,196.4,5.16,55.7,29.0,6.64
"Châtaigne ou Marron, appertisé",135.64,1.96,62.7,28.8,1.4
"Châtaigne, bouillie/cuite à l'eau",128.46,2.01,64.1,27.0,1.38
"Châtaigne, crue",173.31,1.81,51.0,36.5,2.23
"Châtaigne, grillée",223.68,3.17,40.5,47.8,2.2
Chausson aux pommes,331.38,4.17,36.2,36.6,18.7
Cheddar,400.2,24.0,37.1,0.0,33.8
"Cheeseburger, provenant de fast food",263.3,13.7,46.3,23.1,12.9
"Cheesecake ou Gâteau au fromage frais, rayon frais",325.06,3.89,39.2,31.7,20.3
"Cheval, entrecôte, crue",118.46,22.1,0.0,0.0,3.34
"Cheval, entrecôte, grillée/poêlée",168.96,28.2,64.4,0.0,6.24
"Cheval, faux-filet, cru",121.02,22.2,0.0,0.0,3.58
"Cheval, faux-filet, grillé/poêlé",162.83,26.6,65.5,0.0,6.27
"Cheval, faux-filet, rôti/cuit au four",173.32,28.3,63.2,0.0,6.68
"Cheval, steak, cru",128.6,21.4,72.6,0.4,4.6
"Cheval, tende de tranche, crue",105.92,22.7,0.0,0.0,1.68
"Cheval, tende de tranche, grillée/poêlée",134.82,27.9,68.7,0.0,2.58
"Cheval, tende de tranche, rôtie/cuite au four",143.55,29.7,66.6,0.0,2.75
"Cheval, viande, crue",167.6,18.8,70.0,0.6,10.0
"Cheval, viande, rôtie/cuite au four",137.65,28.0,68.6,0.0,2.85
"Chevreau, cru",103.19,20.6,75.8,0.0,2.31
"Chevreau, cuit",135.67,27.1,68.2,0.0,3.03
"Chevreuil, cru",110.0,23.0,0.0,0.0,2.0
"Chevreuil, rôti/cuit au four",149.51,30.2,65.2,0.0,3.19
Chevrot (fromage de chèvre),279.2,18.5,55.4,0.0,22.8
"Chewing-gum, sans sucre",319.21,0.69,4.3,78.1,0.45
"Chewing-gum, sucré",357.02,0.38,3.13,88.2,0.3
"Chewing-gum, teneur en sucre inconnue (aliment moyen)",332.32,0.58,3.9,81.6,0.4
"Chia, graine, séchée",373.18,16.5,5.8,7.72,30.7
"Chicorée et café, instantané, non sucré, prêt à boire (reconstituée avec de l'eau)",0.0,0.0,0.0,0.0,0.0
"Chicorée et café, instantané, non sucré, prête à boire (reconstituée avec du lait demi-écrémé standard)",53.14,3.74,87.0,5.9,1.62
"Chicorée et café, poudre soluble",298.3,12.4,3.3,61.5,0.3
"Chicorée rouge, crue",12.9,1.4,94.0,1.6,0.1
"Chicorée verte, crue",14.1,1.9,91.2,0.5,0.5
"Chicorée, instantanée, non sucrée, prête à boire (reconstituée avec du lait demi-écrémé standard)",92.3,0.0,0.0,7.1,7.1
"Chicorée, poudre soluble",264.5,3.3,2.7,57.2,2.5
Chili con carne,110.67,7.13,74.2,13.0,3.35
"Chinchard gras, cru",147.34,19.6,71.7,0.0,7.66
"Chinchard maigre, cru",96.58,18.7,77.4,0.0,2.42
"Chinchard, cru",115.78,19.0,78.0,0.0,4.42
"Chipolata, crue",252.6,15.8,62.2,1.0,20.6
"Chipolata, cuite",306.9,19.0,0.0,0.8,25.3
Chips de crevette,506.6,3.1,3.5,63.7,26.6
Chips de maïs ou tortilla chips,486.54,6.56,2.6,59.5,24.7
"Chips de pommes de terre et assimilés, allégées en matière grasse",452.52,6.48,1.3,62.1,19.8
"Chips de pommes de terre, à l'ancienne",560.08,5.62,1.4,49.8,37.6
"Chips de pommes de terre, standard",535.82,5.68,1.4,51.1,34.3
"Chocolat au lait aux céréales croustillantes, tablette",510.4,7.15,1.52,60.6,26.6
"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",551.62,8.43,1.12,48.7,35.9
Chocolat au lait fourré,606.2,4.8,0.0,45.5,45.0
"Chocolat au lait fourré au praliné, tablette",554.86,7.29,0.6,52.9,34.9
"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",551.2,5.75,0.0,54.2,34.6
"Chocolat au lait, tablette",549.94,7.41,0.58,52.9,34.3
"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",574.46,7.64,0.5,48.0,39.1
"Chocolat blanc, tablette",560.84,6.16,1.1,57.1,34.2
"Chocolat noir à 40% de cacao minimum, à pâtisser, tablette",529.06,6.39,0.9,51.4,33.1
"Chocolat noir à 70% cacao minimum, extra, dégustation, tablette",548.16,8.44,0.59,35.0,41.6
"Chocolat noir à moins de 70% de cacao, à croquer, tablette",502.32,6.63,0.7,42.9,33.8
"Chocolat noir aux fruits (orange, framboise, poire), tablette",518.0,6.8,1.2,45.3,34.4
"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",545.68,7.72,0.51,42.3,38.4
Chocolat noir fourrage confiseur à la menthe,486.36,4.24,6.2,57.5,26.6
"Chocolat noir fourré praliné, tablette",548.32,6.38,0.5,52.4,34.8
"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",551.02,8.48,0.6,34.1,42.3
"Chocolat, en tablette (aliment moyen)",539.12,7.43,0.7,45.9,36.2
Chop suey (porc ou poulet),78.2,5.0,0.0,7.8,3.0
Chorizo,423.86,23.5,34.0,1.24,36.1
"Chorizo supérieur, doux ou fort, type charcuterie en tranches",305.5,22.6,43.6,0.0,23.9
"Chorizo supérieur, doux ou fort, type saucisse sèche",460.7,20.9,28.0,0.0,41.9
Chou à la crème (chantilly ou pâtissière),292.38,4.47,46.3,30.6,16.9
Chou à la crème chantilly,347.72,4.63,44.3,22.9,26.4
Chou à la crème pâtissière,222.54,4.31,51.7,34.9,7.3
"Chou blanc, cru",23.8,1.25,90.5,4.25,0.2
"Chou chinois (pak-choi ou pé-tsai), cuit",10.65,1.53,95.4,0.75,0.17
"Chou chinois ou pak-choi ou pé-tsai, cru",13.92,1.38,95.2,1.65,0.2
"Chou de Bruxelles, appertisé, égoutté",31.41,2.56,88.9,4.1,0.53
"Chou de Bruxelles, cru",42.2,3.98,85.0,5.67,0.4
"Chou de Bruxelles, cuit",28.19,2.6,87.6,4.2,0.11
"Chou de Bruxelles, surgelé, cru",34.77,3.45,86.3,4.5,0.33
"Chou de Bruxelles, surgelé, cuit",34.95,3.64,86.7,4.22,0.39
Chou farci,88.6,5.3,81.2,2.0,6.6
"Chou frisé, cru",43.75,4.33,82.8,4.2,1.07
"Chou frisé, cuit",25.72,1.9,91.2,3.63,0.4
"Chou romanesco ou brocoli à pomme, cru",24.12,2.93,89.8,2.2,0.4
"Chou rouge, bouilli/cuit à l'eau",20.13,1.51,91.3,3.32,0.09
"Chou rouge, cru",24.98,1.34,90.7,4.5,0.18
"Chou vert, cru",17.77,2.53,91.8,0.99,0.41
"Chou vert, cuit",20.33,1.03,93.9,3.04,0.45
Choucroute garnie,103.98,5.06,82.4,2.8,8.06
"Choucroute, sans garniture, égouttée",26.37,0.7,91.0,0.83,2.25
"Choucroute, sans garniture, égouttée, cuite",64.92,1.38,85.6,0.0,6.6
"Chou-fleur, cru",18.07,1.77,92.9,2.05,0.31
"Chou-fleur, cuit",16.94,1.6,93.7,1.6,0.46
"Chou-fleur, surgelé, cru",21.69,1.95,92.5,2.64,0.37
"Chou-fleur, surgelé, cuit",12.62,1.61,94.0,1.05,0.22
Chouquette,368.84,7.76,23.5,42.6,18.6
"Chou-rave, bouilli/cuit à l'eau",25.79,1.8,90.3,4.4,0.11
"Chou-rave, cru",17.46,1.79,91.0,2.35,0.1
"Ciboule ou Ciboulette, fraîche",23.56,2.62,90.9,2.1,0.52
Cidre aromatisé (framboise),21.36,0.0,92.0,5.34,0.0
Cidre bouché demi-sec,3.84,0.0,93.9,0.96,0.0
Cidre brut,10.48,0.0,93.9,2.62,0.0
Cidre doux,20.36,0.0,91.9,5.09,0.0
Cidre traditionnel,7.48,0.0,94.2,1.87,0.0
Cigarette,520.66,5.29,2.47,63.0,27.5
Citron givré ou Orange givrée (sorbet),132.89,0.14,0.0,29.1,1.77
"Citron ou Lime, spécialité à diluer pour boissons, sans sucres ajoutés",5.24,0.0,93.8,1.31,0.0
"Citron vert ou Lime, pulpe, cru",12.52,0.66,89.1,2.02,0.2
"Citron, pulpe, cru",22.06,0.84,89.0,3.1,0.7
"Citron, zeste, cru",29.98,1.42,81.6,5.4,0.3
"Citrouille, pulpe, crue",28.9,1.0,91.6,6.0,0.1
"Clafoutis aux fruits, rayon frais",188.27,5.22,58.5,27.2,6.51
"Clam, Praire ou Palourde, bouilli/cuit à l'eau",99.44,16.2,74.1,5.33,1.48
"Clam, Praire ou Palourde, cru",77.29,10.7,81.1,2.66,2.65
"Clémentine, pulpe, crue",52.51,0.8,86.6,11.9,0.19
Clou de girofle,267.28,5.97,9.87,31.6,13.0
Cocktail à base de rhum,109.71,0.0,65.0,22.5,2.19
Cocktail à base de whisky,63.78,0.0,69.2,15.9,0.02
Cocktail sans alcool (à base de jus de fruits et de sirop),51.84,0.46,86.4,12.5,0.0
"Coeur de palmier, appertisé, égoutté",30.74,2.53,90.2,4.03,0.5
"Coeur, agneau, cru",117.96,16.5,76.7,0.21,5.68
"Coeur, agneau, cuit",178.91,25.0,64.2,1.93,7.91
"Coeur, boeuf, cru",103.35,18.5,79.0,0.7,2.95
"Coeur, boeuf, cuit",133.1,23.0,0.0,0.15,4.5
"Coeur, dinde, cru",135.36,16.7,74.5,0.4,7.44
"Coeur, dinde, cuit",167.28,24.9,67.2,0.0,7.52
"Coeur, porc, cru",108.45,17.1,77.4,0.27,4.33
"Coeur, poulet, cru",149.04,15.6,73.6,0.69,9.32
"Coeur, poulet, cuit",177.28,26.4,64.9,0.1,7.92
"Coeur, veau, cru",105.52,16.1,77.3,1.64,3.84
"Coing, cru",56.42,0.48,83.5,13.4,0.1
"Cola, non sucré, avec édulcorants",1.24,0.081,99.7,0.11,0.053
"Cola, non sucré, avec édulcorants, sans caféine",0.8,0.0,99.7,0.2,0.0
"Cola, sucré",41.73,0.093,90.3,10.2,0.062
"Cola, sucré, avec édulcorants",26.67,0.0093,95.0,6.65,0.0033
"Cola, sucré, sans caféine",44.0,0.0,89.6,11.0,0.0
"Cola, teneur en sucre et édulcorant inconnue (aliment moyen)",30.13,0.089,93.0,7.31,0.059
Compote de pomme,100.41,0.23,72.9,24.4,0.21
"Compote, tout type de fruits",103.31,0.51,71.6,24.8,0.23
"Compote, tout type de fruits, allégée en sucres",64.62,0.0,80.0,16.0,0.069
"Compote, tout type de fruits, allégée en sucres, rayon frais",65.2,0.32,83.9,14.9,0.48
Comté,420.2,27.2,33.2,0.0,34.6
